"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
35,"Travel_Rarely","Research & Development",11,3,2,"Female",4,3,1,"H","N",2,"Y","Manager",11996,19100,7,"No",18,2,1,"L",10,"Y",2,7,7,6,2,56
35,"Travel_Rarely","Production",14,3,2,"Male",3,3,3,"L","N",3,"Y","Production Supervisors",6854,7539,6,"No",19,1,1,"H",7,"N",3,2,6,1,4,31
26,"Travel_Rarely","Sales",3,3,4,"Female",2,1,2,"L","Y",3,"Y","Sales Representative",2966,21378,4,"No",18,4,0,"L",5,"Y",3,4,2,0,0,92
30,"Travel_Rarely","Research & Development",9,3,3,"Female",2,2,2,"H","Y",2,"Y","Manufacturing Director",6877,20234,1,"Yes",24,2,0,"L",12,"Y",2,0,0,0,0,61
54,"Travel_Rarely","IT_Support",7,3,2,"Male",3,2,1,"L","Y",3,"Y","IT specialists",6457,7103,7,"No",15,2,0,"L",10,"Y",2,5,2,1,4,72
36,"Travel_Rarely","Research & Development",24,4,3,"Female",3,2,2,"L","Y",2,"Y","Manufacturing Director",5410,2323,4,"Yes",11,4,0,"L",18,"Y",3,16,14,5,12,61
38,"Travel_Rarely","Research & Development",8,2,2,"Male",3,1,2,"L","Y",1,"Y","Research and Design Specialists",4771,14293,8,"No",19,4,2,"L",10,"Y",4,5,2,0,3,57
52,"Travel_Rarely","Finance",21,4,2,"Male",3,3,2,"L","N",3,"Y","Accountant",9190,10109,2,"Yes",17,1,0,"H",9,"Y",3,10,3,2,2,30
28,"Travel_Rarely","Finance",17,4,1,"Female",3,2,3,"H","N",2,"Y","Accountant",8716,9588,2,"Yes",16,1,0,"H",5,"N",2,10,3,3,4,49
33,"Travel_Rarely","Production",15,4,1,"Male",2,2,3,"L","N",3,"N","Production Supervisors",5758,6334,7,"Yes",15,1,1,"L",9,"N",1,2,2,1,5,37
36,"Travel_Frequently","Production",24,2,4,"Male",3,1,1,"H","N",3,"Y","Machinists",2088,15062,4,"No",12,3,0,"L",13,"Y",2,8,7,7,2,58
29,"Travel_Rarely","Research & Development",2,4,2,"Female",4,3,1,"L","N",2,"Y","Manufacturing Director",9980,10195,1,"No",11,3,1,"L",10,"N",3,10,9,8,8,32
38,"Travel_Rarely","Research & Development",4,2,4,"Female",2,3,4,"L","N",3,"Y","Manufacturing Director",7756,14199,8,"Yes",19,4,1,"L",10,"Y",4,5,4,0,2,65
36,"Travel_Rarely","Research & Development",10,3,4,"Male",2,1,2,"H","N",3,"Y","Research and Design Specialists",3388,21777,0,"Yes",17,1,1,"H",2,"Y",2,1,0,0,0,67
49,"Travel_Rarely","Production",13,4,1,"Male",3,3,3,"H","Y",1,"Y","IT specialists",8760,9636,1,"Yes",16,1,1,"L",6,"Y",1,7,6,1,4,75
26,"Travel_Rarely","IT_Support",9,1,4,"Male",4,3,3,"L","N",1,"N","Sales Executive",NA,7496,7,"No",19,1,0,"L",7,"N",1,3,5,1,6,69
44,"Travel_Rarely","Finance",20,4,1,"Male",3,3,1,"L","N",3,"Y","Accountant",8928,9821,7,"Yes",17,2,0,"H",6,"Y",1,4,6,2,7,34
27,"Travel_Rarely","Sales",12,2,1,"Female",4,2,4,"L","Y",2,"N","Sales Executive",6500,26997,4,"No",14,2,0,"H",9,"Y",2,8,7,0,7,63
52,"Travel_Rarely","Research & Development",18,4,3,"Male",2,2,2,"L","N",3,"N","Research and Design Specialists",4941,17747,2,"No",15,1,0,"L",11,"N",2,8,2,7,7,43
36,"Travel_Rarely","Research & Development",9,2,2,"Male",2,2,1,"L","N",1,"N","Manufacturing Director",8847,13934,8,"Yes",11,3,1,"L",13,"N",3,3,2,0,2,47
50,"Travel_Rarely","Production",13,3,1,"Male",3,1,2,"H","Y",2,"Y","Machinists",2380,20165,7,"No",18,2,0,"H",8,"Y",3,1,0,0,0,78
30,"Travel_Rarely","Research & Development",4,3,2,"Male",2,1,1,"L","Y",3,"N","Research and Design Specialists",2141,5348,1,"No",12,2,1,"L",6,"N",2,6,4,1,1,34
33,"Travel_Rarely","Production",6,2,1,"Female",3,1,1,"L","N",3,"N","Machinists",2707,21509,7,"No",20,1,0,"L",13,"N",4,9,7,1,7,39
54,"Travel_Rarely","Human Resources",23,4,3,"Male",3,3,1,"H","N",3,"Y","Human Resources",10725,6729,2,"No",15,3,1,"L",16,"Y",4,9,7,7,1,58
50,"Travel_Rarely","Research & Development",7,5,4,"Female",2,3,1,"L","Y",1,"Y","Research Director",13269,21981,7,"No",15,3,3,"L",19,"N",3,14,11,1,11,38
47,"Non-Travel","Research & Development",13,4,1,"Male",3,3,1,"L","N",2,"N","Manager",11849,10268,1,"Yes",12,4,1,"L",10,"N",2,10,7,9,9,31
39,"Non-Travel","Production",22,3,1,"Female",2,1,1,"L","Y",2,"N","Machinists",3646,17181,1,"Yes",23,2,0,"L",11,"N",4,1,0,0,0,40
55,"Travel_Frequently","Finance",12,4,1,"Male",3,2,1,"L","Y",3,"Y","Accountant",8413,9254,7,"No",16,4,1,"L",6,"N",2,10,2,2,4,81
26,"Travel_Rarely","Research & Development",18,2,4,"Male",4,2,2,"H","Y",3,"Y","Manufacturing Director",5472,3334,7,"No",12,2,0,"L",8,"Y",3,8,7,1,3,52
35,"Travel_Rarely","Research & Development",13,4,1,"Female",3,2,2,"H","Y",2,"Y","Customercare Representative",6142,4223,4,"Yes",16,3,0,"H",10,"Y",3,5,2,0,4,57
29,"Travel_Rarely","Research & Development",3,4,1,"Male",3,1,2,"L","N",3,"N","Research and Design Specialists",4787,26124,7,"Yes",14,2,3,"L",4,"N",4,2,2,2,2,41
27,"Travel_Frequently","Research & Development",12,3,4,"Male",3,1,4,"L","Y",3,"Y","Research and Design Specialists",2580,6297,6,"No",13,3,0,"L",6,"Y",2,4,2,1,2,74
43,"Travel_Rarely","Finance",5,3,1,"Male",3,3,1,"L","N",2,"Y","Accountant",8917,9809,6,"No",19,3,0,"L",7,"N",1,2,6,1,2,50
48,"Travel_Rarely","Production",23,2,1,"Male",2,3,2,"L","N",2,"N","Machinists",5381,19294,9,"Yes",13,4,0,"L",23,"N",3,1,0,0,0,44
54,"Travel_Rarely","Research & Development",1,4,1,"Female",3,3,2,"H","N",2,"N","Research Director",13549,24001,9,"No",12,1,1,"H",16,"Y",1,4,3,0,3,61
31,"Travel_Rarely","Research & Development",7,4,3,"Female",3,2,1,"L","N",3,"N","Manufacturing Director",4424,20682,1,"No",23,4,0,"L",11,"Y",3,11,7,1,8,48
29,"Travel_Rarely","Research & Development",3,4,4,"Female",2,1,2,"L","N",2,"N","Research and Design Specialists",3785,8489,9,"No",14,2,0,"L",5,"N",1,5,4,0,4,44
37,"Travel_Rarely","Research & Development",2,3,2,"Female",3,1,2,"L","N",2,"Y","Research and Design Specialists",3936,9953,5,"No",11,1,1,"L",8,"Y",1,8,4,7,7,53
29,"Travel_Rarely","Finance",21,3,2,"Male",2,3,2,"L","N",3,"Y","Accountant",9492,10441,8,"Yes",17,4,0,"L",8,"Y",1,8,5,2,5,49
32,"Travel_Rarely","Sales",22,2,1,"Male",1,2,1,"L","Y",1,"N","Sales Executive",6735,12147,8,"No",15,2,0,"L",10,"N",3,0,0,0,0,29
19,"Travel_Rarely","Production",10,1,2,"Female",3,1,2,"L","N",1,"N","Machinists",1483,16102,1,"No",14,4,0,"L",1,"N",3,1,0,0,0,43
31,"Travel_Rarely","Production",1,4,4,"Male",3,2,1,"L","Y",2,"N","Machinists",5915,9528,3,"No",22,4,1,"L",10,"Y",2,7,7,1,7,33
46,"Non-Travel","Research & Development",9,4,3,"Female",3,2,2,"L","N",3,"N","Manufacturing Director",5258,16044,2,"No",14,3,0,"L",7,"N",4,1,0,0,0,48
44,"Travel_Frequently","Production",8,3,4,"Male",3,1,1,"H","N",3,"Y","Machinists",3161,19920,3,"Yes",22,4,1,"L",19,"Y",1,1,0,0,0,56
33,"Travel_Rarely","Sales",10,3,1,"Female",4,3,1,"L","N",1,"N","Sales Executive",5217,6260,8,"No",15,2,0,"L",9,"N",2,4,6,3,5,77
40,"Travel_Rarely","Sales",9,2,4,"Female",3,2,4,"H","N",3,"Y","Sales Executive",5715,22553,7,"No",12,3,2,"H",8,"Y",3,5,4,1,3,74
37,"Travel_Frequently","Finance",2,3,2,"Female",3,2,2,"L","Y",3,"Y","Accountant",8861,9747,2,"No",19,2,0,"L",5,"Y",3,5,2,2,2,80
40,"Non-Travel","Research & Development",18,5,4,"Male",2,2,4,"H","N",3,"Y","Customercare Representative",4876,14242,9,"No",14,4,1,"H",5,"Y",1,3,2,0,2,67
34,"Travel_Frequently","Research & Development",22,2,4,"Male",3,2,2,"L","Y",1,"Y","Manufacturing Director",4033,15834,8,"No",11,4,0,"L",5,"Y",2,3,2,0,2,60
49,"Travel_Rarely","Production",3,2,3,"Female",2,2,4,"H","N",2,"Y","Machinists",4789,23070,1,"No",25,1,1,"H",10,"Y",3,3,2,1,2,69
36,"Travel_Rarely","Research & Development",14,4,2,"Male",3,1,2,"L","N",1,"N","Research and Design Specialists",4678,23293,1,"No",18,3,0,"L",8,"N",3,6,2,0,1,46
49,"Travel_Rarely","Production",6,3,4,"Female",3,1,2,"L","N",3,"N","Machinists",2587,24941,9,"Yes",16,2,1,"L",17,"N",2,2,2,2,2,46
38,"Travel_Rarely","Finance",6,3,1,"Male",2,2,1,"L","Y",3,"Y","Accountant",9967,10964,3,"Yes",18,3,0,"L",10,"Y",2,5,4,1,5,67
33,"Travel_Frequently","Research & Development",17,4,4,"Female",3,3,2,"H","N",2,"Y","Manager",11878,23364,6,"No",11,2,2,"H",12,"Y",3,10,6,8,8,72
48,"Travel_Rarely","Finance",24,4,1,"Male",2,3,1,"L","Y",3,"Y","Accountant",9382,10320,9,"No",18,4,1,"L",5,"N",3,3,5,2,3,65
47,"Travel_Rarely","Finance",5,3,1,"Female",2,2,1,"L","N",3,"Y","Accountant",9059,9965,2,"Yes",17,1,0,"L",9,"Y",1,6,5,2,5,34
39,"Travel_Rarely","Research & Development",25,1,3,"Male",3,3,1,"L","N",3,"Y","Research Director",13464,7914,6,"No",21,3,0,"H",9,"Y",3,4,3,2,2,55
26,"Travel_Rarely","Research & Development",9,3,1,"Female",3,1,2,"H","N",3,"Y","Research and Design Specialists",2061,11133,1,"No",21,1,0,"H",1,"Y",3,1,0,0,0,61
30,"Travel_Rarely","Sales",19,4,3,"Male",3,2,1,"L","Y",1,"N","Sales Executive",4115,13192,3,"No",19,3,3,"L",8,"N",3,4,3,0,3,34
27,"Travel_Frequently","Sales",5,1,4,"Female",4,2,2,"H","N",3,"Y","Sales Executive",4647,16673,4,"Yes",20,2,2,"L",6,"Y",3,6,5,0,4,59
32,"Travel_Rarely","Research & Development",19,5,3,"Male",3,1,2,"H","Y",2,"Y","Research and Design Specialists",3038,12430,3,"No",20,1,0,"H",8,"Y",3,5,4,1,4,70
26,"Travel_Rarely","Research & Development",14,2,3,"Male",3,1,2,"L","Y",3,"Y","Research and Design Specialists",2875,9973,1,"Yes",20,2,0,"L",8,"Y",2,8,5,2,2,61
32,"Travel_Rarely","Finance",21,3,1,"Male",3,2,2,"L","Y",1,"N","Accountant",8255,9081,1,"Yes",15,4,0,"L",10,"N",2,3,4,1,7,56
47,"Travel_Frequently","Production",3,4,2,"Male",2,1,2,"H","Y",3,"Y","Production Supervisors",6301,7561,7,"No",16,3,0,"H",8,"Y",1,6,4,1,6,71
21,"Travel_Rarely","Sales",8,1,3,"Male",3,1,2,"L","Y",1,"Y","Sales Representative",2380,25479,4,"Yes",11,4,0,"L",2,"Y",3,2,2,1,2,53
37,"Non-Travel","Research & Development",12,2,3,"Male",2,2,4,"L","N",3,"N","Customercare Representative",5163,15850,5,"No",14,4,1,"L",17,"Y",4,1,0,0,0,42
24,"Travel_Frequently","Production",21,3,1,"Female",3,1,1,"L","N",1,"N","Machinists",2886,14168,8,"Yes",16,4,1,"L",6,"N",3,6,3,1,2,34
29,"Travel_Rarely","Research & Development",11,3,4,"Female",2,1,2,"L","N",3,"N","Research and Design Specialists",2109,10007,9,"No",13,3,1,"L",1,"N",3,1,0,0,0,49
44,"Travel_Rarely","Finance",17,3,2,"Male",3,3,2,"L","Y",2,"N","Accountant",9012,9913,8,"Yes",18,4,0,"L",7,"N",3,6,6,3,7,60
25,"Travel_Rarely","Production",14,1,4,"Male",3,1,1,"L","N",2,"N","Machinists",3691,4605,2,"Yes",15,2,1,"L",7,"N",4,7,7,5,6,28
28,"Travel_Rarely","Production",15,4,1,"Male",3,1,2,"L","Y",3,"N","Machinists",3485,14935,2,"No",11,3,0,"L",5,"N",1,0,0,0,0,44
29,"Travel_Rarely","Finance",10,4,2,"Female",2,2,4,"L","N",1,"Y","Accountant",8270,9097,2,"Yes",16,1,1,"H",8,"N",1,9,5,3,7,43
49,"Travel_Rarely","Sales",21,4,4,"Female",3,2,1,"L","N",1,"N","Sales Executive",4507,8191,2,"No",12,3,0,"L",8,"N",4,5,1,0,4,38
35,"Travel_Rarely","Production",20,1,4,"Male",4,1,2,"H","Y",2,"Y","Machinists",2269,4892,1,"No",19,4,0,"H",1,"Y",3,1,0,0,1,69
25,"Travel_Rarely","Sales",1,4,3,"Male",3,2,3,"L","Y",3,"Y","Sales Executive",4950,20623,5,"No",14,2,0,"L",5,"Y",3,4,3,1,1,88
41,"Travel_Rarely","IT_Support",24,4,1,"Male",2,5,4,"H","Y",3,"Y","IT specialists",5514,6065,2,"Yes",17,1,0,"H",10,"Y",1,7,7,2,5,52
20,"Travel_Frequently","Production",8,3,4,"Female",2,1,2,"H","N",3,"N","Machinists",2926,19783,1,"Yes",18,2,0,"H",1,"Y",3,1,0,1,0,61
54,"Travel_Frequently","Finance",23,4,2,"Male",2,3,3,"L","Y",1,"Y","Accountant",8424,9266,4,"No",19,1,0,"L",7,"Y",3,2,5,3,3,55
34,"Travel_Rarely","Finance",19,4,1,"Male",2,3,1,"L","Y",1,"Y","Accountant",9626,10589,7,"Yes",20,1,0,"L",8,"Y",3,7,6,1,3,78
19,"Travel_Rarely","Production",20,3,2,"Male",2,1,2,"L","Y",3,"N","Machinists",1102,9241,1,"No",22,3,0,"L",1,"N",2,1,0,1,0,49
21,"Non-Travel","Sales",23,2,1,"Male",3,1,2,"H","N",3,"Y","Sales Representative",2610,2851,1,"No",24,3,0,"H",3,"Y",2,3,2,2,2,66
52,"Travel_Rarely","Research & Development",5,3,4,"Male",2,3,2,"H","N",2,"Y","Manufacturing Director",7969,19609,2,"Yes",14,3,0,"H",28,"Y",3,5,4,0,4,61
27,"Travel_Frequently","IT_Support",6,2,3,"Female",2,3,3,"L","Y",3,"N","Manufacturing Director",NA,5504,7,"No",23,4,1,"H",10,"Y",3,10,7,1,7,80
35,"Travel_Rarely","Sales",7,2,1,"Male",1,2,1,"L","Y",3,"N","Sales Executive",5440,22098,9,"Yes",14,4,2,"L",7,"N",2,2,2,2,2,40
57,"Travel_Rarely","Research & Development",7,4,4,"Male",3,2,1,"H","N",3,"Y","Customercare Representative",6755,2967,2,"No",11,3,0,"L",15,"Y",3,3,2,1,2,55
33,"Travel_Rarely","Production",4,4,2,"Male",3,2,2,"L","Y",2,"Y","Machinists",5207,22949,4,"Yes",12,2,1,"H",15,"Y",3,15,14,5,7,54
34,"Non-Travel","Sales",21,4,3,"Female",3,2,2,"L","N",2,"Y","Sales Executive",6538,12740,9,"No",15,1,1,"L",6,"N",3,3,2,1,2,43
36,"Travel_Rarely","Research & Development",21,3,4,"Female",3,1,2,"L","N",2,"N","Research and Design Specialists",2543,11868,4,"No",13,2,1,"L",6,"N",3,2,2,2,2,49
58,"Travel_Rarely","Research & Development",1,3,4,"Male",3,1,2,"H","N",3,"N","Research and Design Specialists",2479,26227,4,"No",24,1,0,"L",7,"N",3,1,0,0,0,41
54,"Travel_Rarely","Finance",16,4,2,"Male",3,2,2,"L","N",3,"Y","Accountant",9560,10516,2,"Yes",15,3,0,"H",7,"Y",3,6,6,2,2,34
28,"Travel_Rarely","Sales",16,3,2,"Female",3,1,4,"L","Y",2,"Y","Sales Representative",2856,3692,6,"No",19,4,1,"H",1,"Y",3,1,0,0,0,63
44,"Travel_Rarely","Human Resources",19,2,2,"Male",2,3,2,"L","Y",2,"Y","Human Resources",10482,2326,6,"No",14,4,1,"L",24,"Y",3,20,6,3,6,62
34,"Travel_Frequently","Research & Development",5,4,4,"Male",2,2,2,"L","N",2,"Y","Customercare Representative",5063,15332,9,"No",14,2,1,"H",8,"Y",2,8,2,7,7,52
37,"Travel_Rarely","Sales",15,4,1,"Male",2,3,1,"H","Y",2,"Y","Sales Executive",10609,14922,4,"No",11,3,0,"L",17,"Y",1,14,1,11,7,51
50,"Travel_Rarely","Finance",21,3,1,"Female",2,3,1,"L","Y",3,"Y","Accountant",8687,9556,2,"No",15,4,1,"H",5,"N",1,8,5,3,2,67
29,"Travel_Rarely","Sales",2,3,3,"Male",2,2,1,"L","Y",2,"Y","Sales Executive",8620,23757,6,"No",14,3,2,"H",10,"Y",3,10,7,0,4,51
38,"Travel_Rarely","Research & Development",20,3,3,"Female",3,2,2,"H","N",1,"Y","Customercare Representative",9824,22174,9,"No",19,3,1,"L",18,"Y",3,1,0,0,0,52
37,"Travel_Rarely","Research & Development",22,3,4,"Female",3,1,1,"L","Y",3,"N","Research and Design Specialists",2115,15881,1,"No",12,2,0,"L",17,"N",3,17,12,5,7,37
54,"Travel_Rarely","Research & Development",15,3,4,"Male",3,4,2,"L","Y",3,"Y","Research Director",17779,23474,6,"No",14,1,0,"L",36,"Y",3,10,9,0,9,57
34,"Travel_Rarely","Human Resources",7,2,3,"Male",3,1,2,"H","Y",2,"Y","Human Resources",3737,2243,9,"No",19,3,1,"L",4,"Y",1,3,2,0,2,57
24,"Travel_Rarely","Sales",7,2,1,"Female",3,2,2,"H","N",3,"Y","Sales Executive",4999,17519,0,"No",21,1,1,"H",4,"Y",2,3,2,0,2,66
35,"Travel_Frequently","Finance",24,4,2,"Male",3,2,2,"L","Y",2,"Y","Accountant",8021,8823,5,"No",18,2,1,"L",9,"Y",3,9,2,2,3,83
48,"Travel_Frequently","Production",15,3,2,"Male",2,3,1,"L","N",2,"Y","Production Supervisors",7652,9182,4,"No",16,1,1,"H",5,"N",1,10,3,2,5,28
35,"Travel_Rarely","Production",19,3,2,"Male",3,3,3,"L","N",3,"Y","Production Supervisors",6854,7539,6,"No",19,1,1,"H",7,"N",3,2,6,1,4,31
33,"Travel_Rarely","Sales",25,5,4,"Male",4,3,4,"L","Y",3,"Y","Sales Executive",8380,21708,5,"Yes",14,4,2,"L",10,"Y",3,9,8,0,8,79
41,"Non-Travel","Research & Development",6,2,1,"Male",2,1,2,"L","N",3,"N","Research and Design Specialists",2107,20293,1,"No",17,1,1,"L",5,"N",1,1,0,0,0,44
29,"Non-Travel","Research & Development",23,1,4,"Male",3,2,3,"H","Y",2,"Y","Manufacturing Director",4319,26283,1,"No",13,1,1,"H",10,"Y",3,10,7,0,9,76
30,"Travel_Rarely","Human Resources",15,3,3,"Male",3,1,2,"H","Y",2,"Y","Human Resources",2064,15428,2,"No",21,1,1,"H",6,"Y",4,5,3,1,3,59
32,"Travel_Frequently","Research & Development",19,2,4,"Female",3,2,2,"L","Y",1,"Y","Research and Design Specialists",4998,2338,9,"Yes",14,4,0,"L",10,"Y",3,8,7,0,7,68
44,"Non-Travel","Production",17,3,3,"Male",2,1,1,"L","Y",3,"Y","Machinists",3162,7973,9,"No",14,4,0,"H",7,"Y",3,5,2,0,3,55
50,"Travel_Rarely","Research & Development",10,1,1,"Male",3,5,4,"H","N",2,"Y","Research Director",19144,15815,3,"No",14,1,2,"H",28,"Y",2,10,4,1,6,80
38,"Travel_Frequently","Research & Development",3,3,4,"Male",3,2,1,"L","Y",2,"N","Research and Design Specialists",4735,9867,3,"No",15,4,2,"L",19,"N",4,13,11,2,9,47
47,"Travel_Rarely","Research & Development",3,4,1,"Female",3,4,4,"L","Y",2,"Y","Research Director",17169,26703,8,"No",19,2,2,"H",26,"Y",4,20,17,5,6,67
49,"Travel_Rarely","Finance",16,4,1,"Male",2,3,1,"L","Y",1,"Y","Accountant",9500,10450,9,"No",16,4,0,"L",8,"Y",2,8,7,1,7,54
42,"Travel_Rarely","Research & Development",5,3,2,"Male",4,2,4,"L","Y",1,"N","Customercare Representative",5538,5696,4,"No",18,3,2,"H",10,"Y",2,0,0,0,0,67
34,"Travel_Rarely","Research & Development",14,3,4,"Female",2,3,4,"H","N",2,"Y","Customercare Representative",8621,17654,8,"No",14,2,0,"L",9,"Y",4,8,7,7,7,63
25,"Travel_Rarely","Sales",11,3,4,"Male",4,2,2,"H","N",3,"Y","Sales Executive",4851,15678,3,"No",22,3,1,"L",4,"Y",3,3,2,1,2,59
32,"Travel_Rarely","Production",18,4,1,"Male",3,1,1,"H","N",2,"N","Machinists",2795,18016,7,"Yes",24,3,0,"L",1,"N",1,1,0,0,1,23
28,"Travel_Frequently","Production",16,4,4,"Male",3,1,2,"H","N",3,"Y","Machinists",2154,6842,3,"Yes",11,3,0,"L",5,"Y",2,4,2,0,2,57
34,"Travel_Rarely","Sales",14,3,4,"Female",2,2,2,"L","N",3,"Y","Sales Executive",6712,8978,9,"No",21,4,2,"L",8,"N",3,8,7,1,7,41
43,"Travel_Rarely","Research & Development",14,3,1,"Male",2,4,1,"H","N",2,"Y","Research Director",14336,4345,1,"No",11,3,1,"L",25,"Y",3,25,10,3,9,51
27,"Travel_Frequently","Research & Development",18,1,3,"Male",2,2,1,"L","N",3,"N","Manufacturing Director",4298,9679,5,"No",19,3,1,"L",6,"N",3,2,2,2,0,31
42,"Non-Travel","Research & Development",16,2,3,"Female",3,2,1,"H","N",3,"Y","Manufacturing Director",5265,16439,2,"No",16,2,1,"L",11,"Y",3,5,3,0,2,55
42,"Non-Travel","Human Resources",13,5,4,"Male",4,2,2,"H","N",2,"Y","Human Resources",6272,12858,8,"No",16,1,1,"L",10,"Y",4,4,3,0,3,70
41,"Travel_Rarely","Sales",6,4,4,"Male",3,4,1,"L","N",2,"Y","Manager",16015,15896,1,"No",19,2,0,"L",22,"N",3,22,10,0,4,47
48,"Travel_Rarely","Finance",14,3,1,"Male",2,2,2,"L","N",1,"Y","Accountant",8065,8872,9,"Yes",18,1,1,"H",8,"N",1,2,4,1,7,42
44,"Travel_Rarely","Finance",23,3,2,"Female",3,2,1,"L","N",1,"Y","Accountant",9083,9991,1,"Yes",19,4,1,"H",8,"Y",1,7,3,1,6,38
31,"Travel_Rarely","Research & Development",19,1,3,"Female",3,1,1,"L","Y",1,"N","Research and Design Specialists",3929,6984,8,"Yes",23,3,1,"L",7,"N",3,4,2,0,2,38
53,"Travel_Rarely","Research & Development",13,3,4,"Male",4,4,2,"L","Y",2,"Y","Research Director",16598,19764,3,"No",12,2,0,"H",35,"Y",2,9,8,8,8,62
53,"Travel_Rarely","Research & Development",15,2,4,"Female",4,2,2,"L","Y",3,"N","Manufacturing Director",4450,26250,1,"No",11,3,2,"L",5,"N",3,4,2,1,3,48
48,"Travel_Rarely","Finance",19,4,1,"Male",2,2,2,"L","Y",3,"Y","Accountant",8138,8952,5,"No",18,1,1,"L",6,"N",2,7,2,3,6,79
30,"Travel_Rarely","Production",24,2,4,"Male",3,1,2,"L","Y",3,"Y","Machinists",3748,4077,4,"No",13,3,0,"L",12,"Y",2,12,8,1,7,70
29,"Travel_Rarely","Production",5,1,2,"Male",3,1,1,"H","Y",3,"Y","Machinists",4723,16213,9,"Yes",18,4,0,"H",10,"Y",3,10,9,1,5,58
45,"Travel_Rarely","Research & Development",24,2,4,"Female",2,2,3,"L","N",3,"Y","Manufacturing Director",5770,5388,9,"No",19,1,2,"L",10,"Y",3,10,7,3,9,75
31,"Travel_Rarely","Research & Development",8,4,3,"Male",3,1,3,"H","N",3,"N","Research and Design Specialists",2695,7747,0,"Yes",18,2,1,"H",3,"Y",1,2,2,2,2,75
56,"Travel_Rarely","Research & Development",24,3,3,"Female",3,1,4,"H","N",3,"N","Research and Design Specialists",4257,13939,4,"Yes",18,3,1,"H",19,"Y",3,2,2,2,2,65
36,"Travel_Rarely","Sales",4,4,2,"Female",2,2,2,"L","N",1,"N","Sales Executive",5673,6060,8,"Yes",13,1,1,"H",10,"N",3,10,9,1,7,43
34,"Travel_Rarely","Research & Development",4,4,1,"Male",3,1,1,"L","N",2,"N","Research and Design Specialists",2972,22061,4,"No",13,3,0,"H",1,"N",1,1,0,0,0,47
44,"Travel_Rarely","Research & Development",22,3,2,"Male",3,1,1,"L","Y",3,"Y","Research and Design Specialists",2436,13422,7,"Yes",12,3,0,"L",6,"Y",3,4,3,1,2,55
30,"Travel_Rarely","IT_Support",24,3,1,"Male",3,2,2,"H","Y",3,"Y","IT specialists",10909,12000,6,"No",18,4,1,"L",10,"Y",1,3,4,2,6,69
34,"Travel_Rarely","Research & Development",25,3,3,"Female",4,1,2,"L","Y",3,"N","Research and Design Specialists",2585,21643,4,"No",17,4,0,"H",2,"N",2,1,0,0,0,44
34,"Travel_Frequently","Sales",22,2,4,"Female",1,1,2,"H","N",1,"Y","Sales Manager",2351,12253,0,"No",16,4,1,"L",3,"Y",2,2,2,1,0,52
30,"Travel_Rarely","Research & Development",9,3,2,"Male",4,2,1,"H","Y",3,"Y","Customercare Representative",NA,7608,7,"Yes",11,1,0,"L",8,"N",1,6,4,0,5,78
58,"Travel_Rarely","Research & Development",7,4,4,"Male",3,5,1,"L","N",3,"Y","Research Director",19246,25761,4,"Yes",12,4,0,"L",40,"N",3,31,15,13,8,40
44,"Non-Travel","Production",24,3,1,"Male",1,1,2,"L","N",3,"N","Machinists",3708,2104,2,"No",14,3,0,"L",9,"N",3,5,2,1,4,44
44,"Travel_Frequently","Finance",7,4,2,"Male",3,3,4,"L","N",1,"Y","Accountant",8173,8990,7,"Yes",15,4,1,"H",6,"N",1,9,6,2,7,32
30,"Travel_Rarely","Production",10,1,2,"Male",2,1,2,"L","Y",3,"N","Machinists",2720,11162,0,"No",13,4,0,"L",6,"N",3,5,3,1,2,44
34,"Travel_Frequently","Research & Development",2,1,4,"Male",2,2,2,"H","Y",3,"N","Manufacturing Director",9547,14074,1,"No",17,3,0,"H",10,"Y",2,10,9,1,9,77
59,"Travel_Rarely","Production",14,3,3,"Female",4,1,2,"H","N",2,"Y","Machinists",2670,9964,4,"Yes",20,1,3,"L",12,"Y",2,1,0,0,0,57
37,"Travel_Rarely","Finance",6,4,2,"Female",2,3,1,"L","Y",1,"Y","Accountant",8170,8987,8,"Yes",19,1,1,"L",6,"Y",3,3,5,1,3,55
31,"Non-Travel","Research & Development",16,4,3,"Male",1,2,4,"H","N",3,"N","Manufacturing Director",4345,4381,0,"No",12,4,1,"H",6,"Y",3,5,4,1,4,69
